04/09/15 Jack King phototran 2 2000Hz
410 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
411 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
412 R 880 0x52 0x0 0x3 0x70 0x2c 0xff 
413 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
414 R 1094 0x52 0x0 0x4 0x46 0x2c 0xff 
415 F 876 0x46 0x0 0x3 0x6c 0x2c 0xff 
416 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
417 F 1095 0x46 0x0 0x4 0x47 0x2c 0xff 
418 R 868 0x52 0x0 0x3 0x64 0x2c 0xff 
419 F 1011 0x46 0x0 0x3 0xf3 0x2c 0xff 
