04/09/15 Jack King phototran 2 1000Hz
350 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
351 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
352 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
353 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
354 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
355 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
356 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
357 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
359 F 1273 0x46 0x0 0x4 0xf9 0x2c 0xff 
360 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
361 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
362 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
363 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
364 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
365 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
366 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
367 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
368 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
369 F 1267 0x46 0x0 0x4 0xf3 0x2c 0xff 
370 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
371 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
372 R 948 0x52 0x0 0x3 0xb4 0x2c 0xff 
373 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
374 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
375 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
376 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
377 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
378 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
379 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
380 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
381 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
382 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
383 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
384 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
385 R 1273 0x52 0x0 0x4 0xf9 0x2c 0xff 
386 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
387 R 942 0x52 0x0 0x3 0xae 0x2c 0xff 
388 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
389 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
390 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
391 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
392 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
393 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
394 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
395 R 1266 0x52 0x0 0x4 0xf2 0x2c 0xff 
396 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
397 R 942 0x52 0x0 0x3 0xae 0x2c 0xff 
398 F 947 0x46 0x0 0x3 0xb3 0x2c 0xff 
399 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
400 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
401 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
402 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
403 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
404 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
405 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
406 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
407 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
408 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
409 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
410 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
411 F 1271 0x46 0x0 0x4 0xf7 0x2c 0xff 
412 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
413 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
414 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
415 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
416 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
417 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
418 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
419 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
420 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
421 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
422 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
423 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
424 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
425 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
