PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
292 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
293 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
294 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
295 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
296 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
297 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
298 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
299 F 1008 0x46 0x0 0x3 0xf0 0x2c 0xff 
300 F 968 0x46 0x0 0x3 0xc8 0x2c 0xff 
301 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
302 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
303 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
304 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
305 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
306 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
307 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
308 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
309 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
310 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
311 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
312 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
313 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
314 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
315 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
316 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
317 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
318 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
319 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
320 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
321 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
322 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
323 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
324 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
325 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
326 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
327 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
328 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
329 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
330 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
331 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
332 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
333 F 982 0x46 0x0 0x3 0xd6 0x2c 0xff 
334 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
335 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
336 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
337 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
338 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
339 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
341 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
342 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
343 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
344 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
345 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
346 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
347 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
348 R 1242 0x52 0x0 0x4 0xda 0x2c 0xff 
349 R 735 0x52 0x0 0x2 0xdf 0x2c 0xff 
350 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
351 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
352 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
353 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
354 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
355 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
356 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
357 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
358 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
359 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
360 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
361 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
362 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
363 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
364 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
