04/09/15 Jack King photo tran 2 750Hz
381 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
382 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
383 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
384 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
385 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
386 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
387 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
388 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
389 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
390 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
391 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
392 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
393 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
394 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
395 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
396 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
397 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
398 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
399 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
400 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
401 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
402 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
403 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
404 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
405 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
406 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
407 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
