phototran 2 318Hz siggen Jack King 04/10/15
377 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
378 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
379 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
380 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
381 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
382 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
383 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
384 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
385 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
386 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
387 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
388 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
389 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
390 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
391 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
392 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
393 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
394 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
395 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
396 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
397 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
398 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
399 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
400 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
401 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
402 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
403 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
404 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
405 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
406 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
407 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
408 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
409 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
410 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
411 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
412 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
413 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
414 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
415 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
416 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
417 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
418 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
