04/09/15 Jack King phototran 2 75KHz
307 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
308 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
309 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
310 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
311 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
312 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
313 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
314 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
315 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
316 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
317 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
318 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
319 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
320 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
321 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
322 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
323 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
324 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
325 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
326 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
327 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
328 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
329 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
330 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
331 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
332 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
333 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
334 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
335 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
336 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
337 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
338 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
339 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
341 R 1246 0x52 0x0 0x4 0xde 0x2c 0xff 
342 F 734 0x46 0x0 0x2 0xde 0x2c 0xff 
343 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
344 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
345 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
346 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
348 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
349 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
350 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
351 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
352 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
353 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
354 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
355 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
356 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
357 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
359 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
360 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
361 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
362 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
363 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
364 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
365 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
